title,link,date
輔大築夢資訊網-輔大專屬高中生落點分析預測系統,http://140.136.129.84/fjudreamnetwork/head.php,2023/2/27
輔仁大學112學年度申請入學備審資料準備指引,https://exam.fju.edu.tw/admission/86,2023/2/24
112學年度運動成績優良學生單獨招生術科測驗細則,https://exam.fju.edu.tw/admission/101,2023/2/15
「國際創業與經營管理碩士在職專班」112學年度線上招生說明會歡迎報名參加,https://exam.fju.edu.tw/admission/99,2023/2/3
輔仁大學111學年度(日間部)寒假轉學生1階段第1梯次遞補名單,https://exam.fju.edu.tw/admission/89/announcement,2023/1/17
輔仁大學112學年度進修學士班申請入學招生簡章,https://exam.fju.edu.tw/admission/103,2023/1/12
輔仁大學112學年度運動成績優良學生單獨招生簡章,https://exam.fju.edu.tw/admission/101,2023/1/12
輔仁大學111學年度進修學士班寒假轉學生招生錄取名單,https://api-gateway.fju.edu.tw/Admission/data/Bulletins/9b1c8334-4239-4dab-9e9a-f1a198510d16.pdf ,2023/1/9
輔仁大學111學年度(日間部)寒假轉學生招生錄取名單,https://exam.fju.edu.tw/admission/89/announcement,2023/1/9
112學年度輔仁大學博士班暨碩士班甄試招生錄取名單,https://exam.fju.edu.tw/admission/84/announcement,2022/12/7
112學年度「輔仁大學鼓勵學士班成績優異學生就讀碩士班獎學金」獲獎名單,https://api-gateway.fju.edu.tw/Admission/data/Bulletins/f28f8c40-1682-485f-a3b3-0ad9cd857c01.pdf,2022/12/7
輔仁大學112學年度學士班特殊選才招生錄取名單,https://api-gateway.fju.edu.tw/Admission/data/Bulletins/51a20500-d367-4317-90f3-237ab7601d09.pdf ,2022/12/6
輔仁大學112學年度碩士班招生簡章,https://exam.fju.edu.tw/admission/95,2022/11/29
輔仁大學 112 學年度碩士在職專班招生簡章,https://exam.fju.edu.tw/admission/93,2022/10/28
輔仁大學111學年度進修學士班寒假轉學生招生簡章,https://exam.fju.edu.tw/admission/90,2022/10/27
輔仁大學111學年度(日間部)寒假轉學生招生簡章,https://exam.fju.edu.tw/admission/89,2022/10/27
輔仁大學2023年僑生及港澳生研究所單獨招生報名連結,https://exam.fju.edu.tw/admission/91,2022/10/18
輔大2023世界大學排名全國第12 不只贏國立！「產學收入」居全球頂標之上,https://www.fju.edu.tw/focusDetail.jsp?focusID=1952&focusClassID=3,2022/10/12
輔仁大學112學年度博士班暨碩士班甄試招生簡章,https://exam.fju.edu.tw/admission/84,2022/9/27
輔仁大學2023僑生及港澳生研究所單獨招生(第一階段)簡章公告,https://api-gateway.fju.edu.tw/Admission/data/Bulletins/a49f2e6a-d19d-4265-8033-74af52bbf0c2.pdf,2022/9/26
再創佳績! 輔大MGEM榮獲2022英國金融時報全球MiM排行第35名,https://www.fju.edu.tw/awardDetail.jsp?newsID=6959,2022/9/23
輔仁大學112學年度學士班特殊選才招生簡章,https://exam.fju.edu.tw/admission/85,2022/9/22
輔仁大學111學年度護理學系二年制在職專班招生簡章公告,https://api-gateway.fju.edu.tw/Admission/data/Bulletins/e419fe90-ae7d-4a11-8d6f-0ad0d14689fa.pdf,2021/12/14
大學甄選入學委員會(中正大學),https://www.cac.edu.tw/cacportal/index.php,2021/1/18
輔仁大學111學年度(日間部)寒假轉學生1階段第1梯次遞補名單,查無相關公告,2023/1/17
112學年度『國際創業與經營管理碩士在職專班』招生說明會歡迎報名參加,https://exam.fju.edu.tw/admission/99/announcement,2022/12/1
112學年度輔仁大學織品系碩士在職專班招生說明會，開始報名!,查無相關公告,2022/10/28
歡迎蒞臨「輔大金融碩士在職專班」-112學年度招生說明會,查無相關公告,2022/10/26
輔大資管系碩士在職專班112學年度線上招生說明會,查無相關公告,2022/10/26
